"input","theta","theta_dot","pos","vel"
"-10","-0.00000317842363","-0.00003178423632","-2.90627866283825","-0.00031784236318"
"-1.21746513387874","-0.00990635593151","-0.09903177507878","-3.00531040560923","-0.99031466393955"
"-0.08914908086433","-0.02101194097078","-0.11105585039274","-3.11540471090396","-1.10094056555415"
"1.00498070127866","-0.03229875912144","-0.1128681815066","-3.22528062665976","-1.09875691890417"
"1.98182764158479","-0.04279192489421","-0.10493165772766","-3.32410845416746","-0.98827626028854"
"2.77225472394644","-0.05163540980776","-0.08843484913546","-3.4023278916153","-0.78219256116876"
"3.32547086217707","-0.05815084076463","-0.06515430956873","-3.45231979660181","-0.49991741788638"
"3.61172218846837","-0.06187890295358","-0.03728062188947","-3.46888960631509","-0.16569662835198"
"3.62327425008487","-0.06260150114072","-0.00722598187144","-3.44953765504637","0.1935208345899"
"3.37376368000374","-0.0603444407478","0.02257060392917","-3.39450879631737","0.55028977700241"
"2.89604796870491","-0.05536170789643","0.04982732851377","-3.30662995503622","0.87878948355275"
"2.23873355531063","-0.04810350021937","0.07258207677053","-3.19095901764102","1.15671033761901"
"1.46164312383938","-0.03917108839287","0.08932411826503","-3.0542813187492","1.36677785621857"
"0.63058562990557","-0.02926241240521","0.09908675987659","-2.90450012211459","1.49781274691649"
"-0.18811852998952","-0.01911296373277","0.10149448672438","-2.74997393268512","1.54526259680797"
"-0.93287038010549","-0.00943682476719","0.09676138965583","-2.59885537227422","1.51118623637093"
"-1.55133710905468","-0.00087259588366","0.08564228883527","-2.45848340854012","1.40372020637678"
"-2.00396777177873","0.00606169299488","0.06934288878546","-2.33487339670168","1.2361006305166"
"-2.26627537953316","0.01100161753499","0.04939924540109","-2.23233876131305","1.02534681480534"
"-2.32981207200428","0.01375551043506","0.02753892900065","-2.15326559438741","0.7907320840835"
"-2.20186902775374","0.01430915659276","0.00553646157698","-2.09804829491042","0.55217336811424"
"-1.90401041181809","0.01281660346751","-0.0149255312525","-2.06518166844286","0.32866660068548"
"-1.46961229441243","0.00957863054478","-0.03237972922725","-2.05149340829289","0.13688290390864"
"-0.9406335377072","0.00501121320316","-0.0456741734162","-2.05249118973743","-0.00997754227728"
"-0.36389650140932","-0.00039307727698","-0.05404290480137","-2.0627912629413","-0.10300048708752"
"0.21280885986342","-0.00610739988798","-0.05714322611007","-2.07659090857253","-0.13799623585617"
"0.74447623314319","-0.01161321651906","-0.05505816631083","-2.0881457480507","-0.11554819637113"
"1.19219540782646","-0.01643977707534","-0.04826560556277","-2.09221472264027","-0.04068956732624"
"1.52578997466618","-0.02019761234199","-0.0375783526665","-2.08444027133933","0.07774467372184"
"1.7256207429283","-0.02260378913122","-0.02406176789227","-2.0616382423558","0.22802043447657"
"1.78347545994996","-0.02349748307329","-0.00893693942076","-2.02198058700534","0.39657668368171"
"1.70253886243428","-0.02284527098783","0.0065221208546","-1.96506309998329","0.56917498737994"
"1.49650048427338","-0.02073635905892","0.02108911928909","-1.89185965203893","0.73203458488713"
"1.18791234318647","-0.01736869429912","0.03367664759806","-1.80457288283071","0.87286778698133"
"0.8059562430931","-0.01302752489172","0.04341169407397","-1.70639864826293","0.98174243108697"
"0.38381940982436","-0.00805845664507","0.04969068246649","-1.60122718846553","1.05171467484232"
"-0.04409745614092","-0.00283737228089","0.05221084364183","-1.49330763041702","1.07919564966651"
"-0.44490959830423","0.00226028869492","0.05097660975813","-1.38690383214217","1.06403804501189"
"-0.78970118339688","0.00688846536288","0.04628176667954","-1.2859686763129","1.00935161432966"
"-1.05552433237963","0.01075547419887","0.03867008835995","-1.19386091325322","0.92107768103007"
"-1.22681693329244","0.01364335837397","0.02887884175093","-1.1131239182608","0.80736999531418"
"-1.29616798551583","0.01542042680192","0.01777068427949","-1.04533978044939","0.67784141896509"
"-1.26441420985949","0.01604642651127","0.00625999709354","-0.99106554670504","0.54274237420937"
"-1.14010160126195","0.01557039191192","-0.00476034599346","-0.94985175564485","0.41213794369119"
"-0.9383889555307","0.01412176586914","-0.01448626042778","-0.92033710804995","0.29514650572934"
"-0.67950653895174","0.01189585827187","-0.02225907597275","-0.90040765732273","0.19929453407451"
"-0.38691081727119","0.00913507453576","-0.02760783736106","-0.88740461559718","0.13003044137754"
"-0.08529340771476","0.00610759060661","-0.03027483929155","-0.87836202116278","0.09042596605392"
"0.20139309678802","0.00308525855847","-0.03022332048142","-0.8702542572137","0.08107765902962"
"0.45173916119181","0.00032249172276","-0.0276276683571","-0.86023377907007","0.10020479902134"
"0.64838120162663","-0.00196229369096","-0.0228478541372","-0.84584128785381","0.14392492798911"
"0.77910449244906","-0.00360139268465","-0.01639098993683","-0.82517374751117","0.20667541767026"
"0.83748511983429","-0.00448776853285","-0.00886375848202","-0.79699974796851","0.28174000824601"
"0.82304950438034","-0.004579763316","-0.00091994783152","-0.76081638561955","0.36183363502715"
"0.74096785342124","-0.00390050573494","0.00679257581063","-0.71684666669687","0.43969719961053"
"0.60133182860573","-0.00253236936054","0.01368136374397","-0.6659810631211","0.50865604510313"
"0.4180951027422","-0.00060719184013","0.0192517752041","-0.60967093039378","0.56310133568406"
"0.20777690838367","0.00170675099442","0.02313942834549","-0.54978475740088","0.5988617374987"
"-0.01195821209002","0.00421982902726","0.02513078032838","-0.48844045467679","0.6134430340537"
"-0.22372749825775","0.0067369201911","0.02517091163846","-0.42782798121832","0.60612474071625"
"-0.41175282834194","0.00907278304659","0.02335862855484","-0.370036534672","0.57791447098157"
"-0.56298294924087","0.01106578150349","0.01992998456905","-0.31689935554206","0.5313717962659"
