timestamp, input, theta, theta_dot, pos, vel
0,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
10,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
20,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
30,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
40,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
50,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
60,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
70,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
81,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
91,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
100,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
110,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
121,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
131,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
141,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
150,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
160,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
171,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
181,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
191,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
201,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
211,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
221,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
231,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
241,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
252,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
262,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
271,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
281,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
292,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
302,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
312,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
322,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
331,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
342,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
352,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
362,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
372,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
383,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
392,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
402,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
412,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
423,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
433,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
442,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
452,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
463,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
473,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
483,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
493,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
502,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
513,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
523,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
533,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
543,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
553,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
563,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
573,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
583,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
594,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
604,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
613,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
623,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
634,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
644,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
654,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
664,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
673,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
684,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
694,   0.0,   -3.0646607875823975,   -0.0,   0.0,   0.0
704,   0.0,   -3.0707967281341553,   -0.7618100643157959,   0.0,   0.0
714,   0.0,   -3.096874475479126,   -2.579904556274414,   0.0,   0.0
725,   0.0,   -3.133690118789673,   -3.7954790592193604,   0.0,   0.0
735,   0.0,   -3.17510724067688,   -3.9519917964935303,   0.0,   0.0
744,   0.0,   -3.2180588245391846,   -4.250936508178711,   0.0,   0.0
754,   0.0,   3.025243043899536,   -4.092636585235596,   0.0,   0.0
765,   0.0,   2.9853596687316895,   -3.7909767627716064,   0.0,   0.0
775,   0.0,   2.947010040283203,   -3.947298288345337,   0.0,   0.0
785,   0.0,   2.9101946353912354,   -3.4863200187683105,   0.0,   0.0
795,   0.0,   2.8764469623565674,   -3.4890782833099365,   0.0,   0.0
806,   0.0,   2.841165542602539,   -3.4918406009674072,   0.0,   0.0
816,   0.0,   2.8028159141540527,   -3.799992322921753,   0.0,   0.0
825,   0.0,   2.7613983154296875,   -3.9441754817962646,   0.0,   0.0
835,   0.0,   2.7199809551239014,   -4.099117279052734,   0.0,   0.0
846,   0.0,   2.6785635948181152,   -4.24925422668457,   0.0,   0.0
856,   0.0,   2.6356120109558105,   -4.0974955558776855,   0.0,   0.0
866,   0.0,   2.592660427093506,   -4.401013374328613,   0.0,   0.0
876,   0.0,   2.548175096511841,   -4.397533416748047,   0.0,   0.0
896,   0.0,   2.450000286102295,   -5.008049488067627,   0.0,   0.0
906,   0.0,   2.396311044692993,   -5.30946683883667,   0.0,   0.0
916,   0.0,   2.3395538330078125,   -5.615086078643799,   0.0,   0.0
926,   0.0,   2.279728412628174,   -5.923292636871338,   0.0,   0.0
937,   0.0,   2.218369245529175,   -6.067962169647217,   0.0,   0.0
947,   0.0,   2.1554760932922363,   -6.219661235809326,   0.0,   0.0
957,   0.0,   2.0925827026367188,   -6.368841171264648,   0.0,   0.0
966,   0.0,   2.028155565261841,   -6.289321422576904,   0.0,   0.0
977,   0.0,   1.9652624130249023,   -6.2918381690979,   0.0,   0.0
987,   0.0,   1.9008351564407349,   -6.3738813400268555,   0.0,   0.0
997,   0.0,   1.8348740339279175,   -6.6800432205200195,   0.0,   0.0
1007,   0.0,   1.767378807067871,   -6.6800432205200195,   0.0,   0.0
1018,   0.0,   1.6968157291412354,   -6.980917453765869,   0.0,   0.0
1028,   0.0,   1.6247186660766602,   -7.135500431060791,   0.0,   0.0
1037,   0.0,   1.551087498664856,   -7.129855155944824,   0.0,   0.0
1047,   0.0,   1.4789904356002808,   -7.366054534912109,   0.0,   0.0
1057,   0.0,   1.4068933725357056,   -7.132676601409912,   0.0,   0.0
1321,   0.0,   0.5049126148223877,   -1.66802978515625,   0.0,   0.0
1331,   0.0,   0.4911067485809326,   -1.2145532369613647,   0.0,   0.0
1340,   0.0,   0.48036885261535645,   -1.0623135566711426,   0.0,   0.0
1350,   0.0,   0.47423291206359863,   -0.6070363521575928,   0.0,   0.0
1361,   0.0,   0.4696309566497803,   -0.45509716868400574,   0.0,   0.0
1371,   0.0,   0.46656322479248047,   -0.30704179406166077,   0.0,   0.0
1381,   0.0,   0.46042728424072266,   -0.6070363521575928,   0.0,   0.0
1391,   0.0,   0.45122337341308594,   -1.0614734888076782,   0.0,   0.0
1402,   0.0,   0.4389514923095703,   -1.2140727043151855,   0.0,   0.0
1411,   0.0,   0.4266796112060547,   -1.2140727043151855,   0.0,   0.0
1421,   0.0,   0.41440773010253906,   -1.228167176246643,   0.0,   0.0
1431,   0.0,   0.4036698341369629,   -0.9101943373680115,   0.0,   0.0
1441,   0.0,   0.3959999084472656,   -0.7587953805923462,   0.0,   0.0
1452,   -25657.7578125,   0.3975338935852051,   0.15212027728557587,   0.0,   0.0
2461,   -1500.0,   0.41747570037841797,   2.1305289268493652,   -0.07661387324333191,   -14.652013778686523
2464,   0.0,   0.12601947784423828,   -0.2923133373260498,   -1521.18701171875,   -150.0
2474,   -7881.4951171875,   0.12141752243041992,   -0.46037840843200684,   0.0,   0.0
2484,   -832.916259765625,   0.11374759674072266,   -0.7618100643157959,   -0.0765746608376503,   -14.645934104919434
2494,   -1917.010986328125,   0.12141752243041992,   0.7525416016578674,   -0.2727164328098297,   -23.141704559326172
2504,   -1195.229248046875,   0.11374759674072266,   -0.9023416638374329,   -0.5919936895370483,   -38.405616760253906
2515,   -223.2266845703125,   0.0892038345336914,   -2.4494705200195312,   -1.04288911819458,   -50.410621643066406
2525,   -125.52838134765625,   0.06466007232666016,   -2.3645176887512207,   -1.579100251197815,   -52.72776794433594
2535,   -200.522216796875,   0.044718265533447266,   -1.9167388677597046,   -2.1347601413726807,   -54.033233642578125
2545,   -87.16302490234375,   0.02631068229675293,   -1.8371026515960693,   -2.6868224143981934,   -56.041656494140625
2556,   768.3925170898438,   -0.0028350353240966797,   -2.9064254760742188,   -3.2539970874786377,   -56.91642761230469
2566,   818.7357788085938,   -0.02737879753112793,   -2.4494705200195312,   -3.7824482917785645,   -49.22023391723633
2586,   1376.88037109375,   -0.07033014297485352,   -2.235689163208008,   -4.603384971618652,   -31.926525115966797
2596,   1511.2935791015625,   -0.08873796463012695,   -1.6693499088287354,   -4.848549842834473,   -18.135744094848633
2606,   821.8178100585938,   -0.0902719497680664,   -0.15296976268291473,   -4.9489030838012695,   -2.962308883666992
2616,   912.3126220703125,   -0.0902719497680664,   -0.0,   -4.931917667388916,   5.58131217956543
2626,   1045.68896484375,   -0.0902719497680664,   -0.0,   -4.826564788818359,   14.726398468017578
2636,   897.9801635742188,   -0.08566999435424805,   0.45654192566871643,   -4.6206583976745605,   25.2752742767334
2647,   799.26513671875,   -0.07800006866455078,   0.7584952712059021,   -4.317592144012451,   34.30195617675781
2657,   183.50433349609375,   -0.059592247009277344,   1.9323402643203735,   -3.9179656505584717,   42.54404830932617
2667,   562.8547973632812,   -0.04885435104370117,   0.8932341933250427,   -3.465881824493408,   44.44807434082031
2677,   229.08340454101562,   -0.03351473808288574,   1.6224796772003174,   -2.9706780910491943,   50.304054260253906
2688,   -443.32000732421875,   -0.008970975875854492,   2.359063148498535,   -2.434830665588379,   52.68375015258789
2698,   -512.2893676757812,   0.012504816055297852,   2.063386917114258,   -1.9119539260864258,   48.06610870361328
2709,   -223.52813720703125,   0.024776697158813477,   1.0340780019760132,   -1.4420416355133057,   42.7403450012207
2719,   -715.47802734375,   0.04165053367614746,   1.8182308673858643,   -1.0226751565933228,   40.48271560668945
2730,   -933.163818359375,   0.058524131774902344,   1.4761170148849487,   -0.6436224579811096,   33.047340393066406
2739,   -664.3262939453125,   0.06619405746459961,   0.7672973275184631,   -0.3631119430065155,   23.697248458862305
2749,   -362.3621520996094,   0.06619405746459961,   0.1498028188943863,   -0.15820229053497314,   16.902414321899414
2760,   -824.9821166992188,   0.07232999801635742,   0.5904468297958374,   -0.003477711696177721,   13.133915901184082
2770,   -692.6519775390625,   0.07386398315429688,   -0.0,   0.08386912196874619,   4.77847957611084
2781,   -335.3321228027344,   0.06772804260253906,   -0.7446509003639221,   0.09356185793876648,   -2.3559463024139404
2790,   -342.56890869140625,   0.06159210205078125,   -0.6113913059234619,   0.05157887563109398,   -5.726613521575928
2800,   -433.8817138671875,   0.05699014663696289,   -0.30291879177093506,   -0.02519511990249157,   -9.189297676086426
2811,   -148.97557067871094,   0.04778623580932617,   -0.9152629971504211,   -0.14157743752002716,   -13.56110954284668
2821,   101.23042297363281,   0.03551459312438965,   -1.3761789798736572,   -0.2857196629047394,   -15.055660247802734
2841,   -298.6028137207031,   0.024776697158813477,   -0.304482102394104,   -0.5818141102790833,   -14.925341606140137
2852,   281.8862609863281,   0.012504816055297852,   -1.3476989269256592,   -0.7522872686386108,   -17.995018005371094
2862,   607.001953125,   -0.0028350353240966797,   -1.507449746131897,   -0.9200104475021362,   -15.119769096374512
2872,   144.0721435546875,   -0.007436990737915039,   -0.3024410307407379,   -1.0394046306610107,   -8.981593132019043
2882,   46.19261932373047,   -0.008970975875854492,   -0.15133985877037048,   -1.1226544380187988,   -7.517275810241699
2892,   459.4319152832031,   -0.016640901565551758,   -0.7380585074424744,   -1.1981455087661743,   -7.036881923675537
2903,   288.2177734375,   -0.019708871841430664,   -0.2940914034843445,   -1.2445979118347168,   -2.260627269744873
