timestamp, input, theta, theta_dot, pos, vel
0,   1.8326568603515625,   -0.024311065673828125,   0.15327546000480652,   -1.0789788961410522,   -9.874165534973145
10,   385.5026550292969,   -0.028913021087646484,   -0.4494084417819977,   -1.1793575286865234,   -9.855514526367188
20,   267.1994323730469,   -0.030447006225585938,   -0.15205995738506317,   -1.2579867839813232,   -5.937349796295166
30,   133.74185180664062,   -0.028913021087646484,   0.30520907044410706,   -1.303054690361023,   -3.254591941833496
40,   -42.01327133178711,   -0.024311065673828125,   0.2948828935623169,   -1.32914137840271,   -1.8621070384979248
50,   207.55145263671875,   -0.024311065673828125,   -0.0,   -1.3500785827636719,   -2.2830910682678223
61,   417.9468078613281,   -0.02737903594970703,   -0.3012531101703644,   -1.3617552518844604,   -0.16616038978099823
71,   205.1298828125,   -0.025845050811767578,   0.14818207919597626,   -1.3393752574920654,   4.160480976104736
91,   252.08799743652344,   -0.022777080535888672,   -0.0,   -1.2113116979599,   8.568073272705078
102,   373.61956787109375,   -0.022777080535888672,   -0.0,   -1.1100491285324097,   11.133366584777832
112,   130.9707489013672,   -0.018175125122070312,   0.4464437961578369,   -0.9740310907363892,   14.983133316040039
122,   -80.49105834960938,   -0.010505199432373047,   0.7581953406333923,   -0.8161479830741882,   16.300674438476562
132,   44.427886962890625,   -0.0059032440185546875,   0.45708608627319336,   -0.6557022929191589,   15.48642349243164
142,   193.219970703125,   -0.004369258880615234,   0.15128016471862793,   -0.4972243309020996,   15.934078216552734
152,   -92.69134521484375,   0.0017666816711425781,   0.6006189584732056,   -0.32253220677375793,   17.918838500976562
162,   -343.753662109375,   0.010970592498779297,   0.899168074131012,   -0.14428627490997314,   16.969669342041016
172,   -181.78402709960938,   0.015572547912597656,   0.4594590961933136,   0.007210894487798214,   13.522544860839844
182,   -64.51937866210938,   0.01710653305053711,   0.14749816060066223,   0.13708774745464325,   11.634881973266602
194,   -388.4874267578125,   0.023242473602294922,   0.5931867361068726,   0.2539423108100891,   10.966200828552246
204,   -490.709716796875,   0.029378414154052734,   0.6001489758491516,   0.3441331088542938,   6.995839595794678
214,   -325.8340148925781,   0.030912399291992188,   0.14829668402671814,   0.38824597001075745,   1.922029733657837
224,   -112.28374481201172,   0.02784442901611328,   -0.4464437961578369,   0.3894062042236328,   -1.4406380653381348
235,   -211.98451232910156,   0.026310443878173828,   -0.0,   0.3679681122303009,   -2.6052098274230957
245,   -415.53790283203125,   0.02784442901611328,   0.2951098084449768,   0.3285892605781555,   -4.808192729949951
255,   -284.7593078613281,   0.026310443878173828,   -0.3032781481742859,   0.25738993287086487,   -8.9935884475708
265,   -224.46664428710938,   0.023242473602294922,   -0.4556378424167633,   0.1501234471797943,   -11.886734008789062
276,   -43.7977294921875,   0.01710653305053711,   -0.44317626953125,   0.013497792184352875,   -14.220293045043945
286,   -288.16424560546875,   0.015572547912597656,   -0.15205995738506317,   -0.1313045620918274,   -14.658970832824707
296,   -204.2241668701172,   0.01250457763671875,   -0.3011348247528076,   -0.29681116342544556,   -17.59468650817871
306,   -21.16131591796875,   0.0063686370849609375,   -0.5941056609153748,   -0.49132993817329407,   -19.714588165283203
317,   128.15643310546875,   -0.0013012886047363281,   -0.7504798769950867,   -0.6925709247589111,   -19.929330825805664
327,   110.3724365234375,   -0.007437229156494141,   -0.59227055311203,   -0.8906388282775879,   -18.608322143554688
