"input","theta","theta_dot","pos","vel"
"4756.00441194336","0.01","0.1","0.0","0.0"
"-992.437976402629","0.03730168489028","4.88742875095781","0.26226088272325","47.7037493835833"
"-1810.64357587139","0.08123130786594","4.00178852968832","0.68702247385812","38.2642854737858"
"-1668.52402445767","0.11233544993874","2.39362296682407","0.97518354543929","21.1566992473166"
"-1368.70613635996","0.1285145007531","0.99021018130338","1.10222318285553","5.82891302535235"
"-1069.29564125983","0.1324544216976","-0.09202980689019","1.09329730428137","-6.3815846194768"
"-808.741431091313","0.12719194089485","-0.8832924566468","0.97854707787489","-15.6522355925381"
"-583.06427971729","0.11531933082207","-1.43990046896228","0.78466489171273","-22.4660987552336"
"-400.05108454808","0.09893478176485","-1.80605711456095","0.53402998589469","-27.2153344205306"
"-224.109843078719","0.07968167056327","-2.02867267863825","0.24484901015844","-30.3404370089007"
"-78.3481499280944","0.05894385033941","-2.11672576585406","-0.06705278432388","-31.9151508037617"
"41.1092784700245","0.03790059632927","-2.1002119523968","-0.38780413473771","-32.2354130448"
"141.280379272746","0.01745836143175","-2.00426781769507","-0.70626725404469","-31.5564314873547"
"222.8800002649","-0.00168481470542","-1.84624881487109","-1.01346159836288","-30.0616523539491"
"276.049434013567","-0.01899626188846","-1.64203644786678","-1.3021879707171","-27.924819544704"
"309.890691439275","-0.0341521697896","-1.41663841309533","-1.56750837322744","-25.4149321726182"
"318.508875851988","-0.0470254939374","-1.18541173676639","-1.80665622498791","-22.7068573540447"
"323.466865163804","-0.05767308313949","-0.96927461831053","-2.01892352757875","-20.0320320295222"
"317.077520966783","-0.06624269681084","-0.76768554363336","-2.20472942493899","-17.4062998198581"
"317.00871629409","-0.07291978058484","-0.58795342996886","-2.36507605840677","-14.9227812338512"
"306.837913568799","-0.07786809696912","-0.42016306503097","-2.50093704268176","-12.5001719332834"
"297.663062375541","-0.08124343517699","-0.27096992841241","-2.61337906598042","-10.2218737939348"
"279.658967956065","-0.08320938085726","-0.13635499702828","-2.70370456040718","-8.062571551946"
"259.717797416811","-0.0839446557232","-0.02236120296776","-2.7735089711019","-6.09626538413399"
"239.63099524575","-0.08365306418271","0.07138523860678","-2.82476242195405","-4.33058793865134"
"220.084306771723","-0.08252725694671","0.14661013914416","-2.85942562001471","-2.75756199776594"
"211.751260831868","-0.08074104249589","0.20533380891712","-2.87935312845662","-1.36438017833965"
"206.791592833225","-0.07839167232144","0.25984610934483","-2.88569727145869","-0.03371747242343"
"171.534266842959","-0.07549688968988","0.31457246022687","-2.87886889896397","1.27337040620365"
"154.5355186007","-0.07221420694236","0.3404373899854","-2.86073298952161","2.26040493807689"
"130.669572256703","-0.0687294436159","0.35607622849264","-2.83347595904267","3.11150700305355"
"120.866875290809","-0.06518072479905","0.35492745875737","-2.79882520644399","3.75954731952609"
"118.238024272825","-0.06165895473687","0.35095988174218","-2.75804093283871","4.344479595442"
"114.105507476527","-0.05815343265565","0.3512474486078","-2.71136288837353","4.93747443357967"
"102.434940239963","-0.05462986618896","0.35429846698088","-2.65879293030192","5.52358357390194"
"85.2237371967265","-0.0511016874521","0.35264232829702","-2.60081221710054","6.02782006978106"
"75.6579668932333","-0.04764653916187","0.3406980610723","-2.53854461786632","6.39458895649446"
"47.5120314577673","-0.04432651792169","0.32586286397668","-2.4729510102877","6.69903885765457"
"46.7558462559807","-0.04127419817832","0.28925061141764","-2.40568343177336","6.75391199967647"
"44.4790991917381","-0.0385605088809","0.25753791756538","-2.33775100908576","6.82940622921264"
"42.8688913785463","-0.03614827399136","0.22858654361409","-2.26904826582372","6.90725841612243"
"42.0552639822271","-0.03400935880519","0.2024993789022","-2.19953060018406","6.99133043798229"
"36.670065299322","-0.03211358117659","0.17956512502585","-2.12910614428848","7.08705968588278"
"22.8015836265515","-0.03045707285473","0.15475610384571","-2.05792223041317","7.14647037351088"
"9.0897393949715","-0.02910790411553","0.11908562465854","-1.98682182554713","7.08223405434455"
"-7.16634724467559","-0.02817750934106","0.07200853015007","-1.91705119637955","6.89240789457083"
"7.28948121023615","-0.02779884773887","0.01005141047851","-1.85003061670654","6.54691477910254"
"35.8560932674595","-0.02795812767192","-0.03722363422516","-1.78565947489555","6.34707893533744"
"80.389167456073","-0.02843619395058","-0.05660298825547","-1.72173156948931","6.42950405467713"
"111.829773449872","-0.02886877763316","-0.03247103364671","-1.65455884902384","6.95206320204035"
"127.820826754343","-0.02889092971002","0.02252488620267","-1.5804507359025","7.78607709851516"
"130.92129364323","-0.02827357674259","0.09398844732903","-1.49711516478405","8.7823570321948"
"124.252949994659","-0.02691549367798","0.17041473655474","-1.40360097414123","9.81897142099718"
"110.644831056963","-0.02481261166848","0.24352242831916","-1.30000105356666","10.8057047609692"
"102.780896266339","-0.02202836218054","0.30779378349705","-1.18715619557556","11.6802834939582"
"99.6600758750895","-0.01861242070386","0.37024719906323","-1.06583662764548","12.5065044565684"
"82.9597631248983","-0.01455009235794","0.43686316314252","-0.93623119683785","13.3379712758687"
"64.8813145431305","-0.00986744904507","0.49532612051557","-0.79899942548774","14.0451947227616"
"42.1308948539633","-0.00464723937801","0.5453899159817","-0.65542795502619","14.6200130241265"
"10.9859550814244","0.00100627152226","0.58333825915242","-0.5070709220201","15.02044128527"
"-20.0161656564157","0.00692990920592","0.60148489183165","-0.35611338768004","15.1660391131093"
"-43.3779587055776","0.01292870833082","0.60032845070862","-0.20508455269717","15.0600027961231"
"-59.7288332680008","0.01885195527349","0.58751817764674","-0.05607899830014","14.7787945520402"
